2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Webflow.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Supabase.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Zapier.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\PostHog.json
2026-04-17 21:36:34 | collector.yc         | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\yc\Deel.json
2026-04-17 21:36:34 | collector.yc         | INFO     | [stage]>> YC COLLECTOR[/stage] -- Done -- 8 companies collected
2026-04-17 21:36:34 | pipeline             | INFO     | [stage]>> STEP 3[/stage] -- Running extraction
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | source_classifier    | DEBUG    | Classified 'yc' → 'insight'
2026-04-17 21:36:34 | pipeline             | INFO     | [stage]>> STEP 4[/stage] -- Running validation
2026-04-17 21:36:34 | schema_validator     | INFO     | Validation: 8/8 valid, 0 issues found
2026-04-17 21:36:34 | pipeline             | INFO     | [stage]>> STEP 5[/stage] -- Deduplicating
2026-04-17 21:36:34 | pipeline             | INFO     | [stage]>> STEP 6[/stage] -- Saving output
2026-04-17 21:36:42 | pipeline             | INFO     | [stage]>> STEP 1[/stage] -- Loading targets
2026-04-17 21:36:42 | pipeline             | INFO     | Loaded 20 targets from startup_targets.json
2026-04-17 21:36:42 | pipeline             | INFO     | [stage]>> STEP 2[/stage] -- Running collectors
2026-04-17 21:36:42 | collector.websites   | INFO     | [stage]>> WEBSITE COLLECTOR[/stage] -- Processing 3 targets
2026-04-17 21:36:51 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Notion.json
2026-04-17 21:36:51 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Notion
2026-04-17 21:36:58 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Slack.json
2026-04-17 21:36:58 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Slack
2026-04-17 21:37:04 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Linear.json
2026-04-17 21:37:04 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Linear
2026-04-17 21:37:04 | collector.websites   | INFO     | [stage]>> WEBSITE COLLECTOR[/stage] -- Done — 3 collected, 0 errors
2026-04-17 21:37:04 | pipeline             | INFO     | [stage]>> STEP 3[/stage] -- Running extraction
2026-04-17 21:37:04 | source_classifier    | DEBUG    | Classified 'websites' → 'website'
2026-04-17 21:37:04 | source_classifier    | DEBUG    | Classified 'websites' → 'website'
2026-04-17 21:37:04 | source_classifier    | DEBUG    | Classified 'websites' → 'website'
2026-04-17 21:37:04 | pipeline             | INFO     | [stage]>> STEP 4[/stage] -- Running validation
2026-04-17 21:37:04 | schema_validator     | INFO     | Validation: 3/3 valid, 0 issues found
2026-04-17 21:37:04 | pipeline             | INFO     | [stage]>> STEP 5[/stage] -- Deduplicating
2026-04-17 21:37:04 | pipeline             | INFO     | [stage]>> STEP 6[/stage] -- Saving output
2026-04-17 21:37:16 | pipeline             | INFO     | [stage]>> STEP 1[/stage] -- Loading targets
2026-04-17 21:37:16 | pipeline             | INFO     | Loaded 20 targets from startup_targets.json
2026-04-17 21:37:16 | pipeline             | INFO     | [stage]>> STEP 2[/stage] -- Running collectors
2026-04-17 21:37:16 | collector.websites   | INFO     | [stage]>> WEBSITE COLLECTOR[/stage] -- Processing 10 targets
2026-04-17 21:37:24 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Notion.json
2026-04-17 21:37:24 | collector.websites   | INFO     | [success][OK][/success] Collected website data: Notion
2026-04-17 21:37:31 | collector.websites   | DEBUG    | Saved raw data: C:\Users\seif alaa\PROJECT_SCRAPPED_DATA\data\raw\websites\Slack.json
